"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",1,Personal income (thousands of dollars),25301580,27368094,28692068,30286146,30239770,30703897,32053994,32353248,31909267,33636494,34898581,36276028,37056685,38394032,40727592,44468645,48150340,50319171,52827627
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",2,Population (persons) 1,809551,831252,849641,863383,876448,889419,897311,900628,903030,901988,902869,905506,907878,909905,912852,917579,919392,920138,922296
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2,31254,32924,33770,35078,34503,34521,35722,35923,35336,37292,38653,40062,40817,42196,44616,48463,52372,54687,57278
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4552393,4796081,5031343,5349501,5294831,5384073,5669056,5917261,5928836,5993901,6073573,6170549,6218251,6432682,6665271,7236123,7731137,7692020,7966412
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,Population (persons) 1,147930,151142,151506,152442,153164,154112,154537,154640,154966,155013,154652,154762,154298,153626,153039,151800,150882,149068,148171
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,30774,31732,33209,35092,34570,34936,36684,38265,38259,38667,39273,39871,40300,41872,43553,47669,51240,51601,53765
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),29216634,30649013,33161466,34493147,33402107,34755032,35971191,36448990,36821740,38242249,39981035,41228221,42600202,44618559,47193630,50477378,53805713,54759138,58085377
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,Population (persons) 1,787738,798586,807578,814050,817779,822154,826799,829653,830864,835224,838657,843356,849855,856090,858767,861557,870135,870570,873555
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,37089,38379,41063,42372,40845,42273,43507,43933,44317,45787,47673,48886,50126,52119,54955,58589,61836,62900,66493
11020,"Altoona, PA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3757891,3877352,4070298,4231489,4292327,4451189,4701149,4769117,4739288,4912427,5137245,5190642,5314720,5570818,5722287,6230629,6696942,6648882,6949572
11020,"Altoona, PA (Metropolitan Statistical Area)",2,Population (persons) 1,126730,127002,127048,127112,127161,127087,127179,126909,126360,125951,125429,124724,124268,123813,123339,122666,122150,120734,120273
11020,"Altoona, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,29653,30530,32037,33289,33755,35025,36965,37579,37506,39003,40957,41617,42768,44994,46395,50793,54826,55071,57782
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),7089726,7581096,8072727,9041151,8788198,9613137,10272599,10513292,10684295,11199233,11253124,11254737,11728782,12196143,12930412,13907781,15088233,15326866,16393337
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,Population (persons) 1,240380,242656,244608,246458,249373,252744,256387,258545,259955,262187,263298,264860,266396,266616,267313,269029,269804,270589,272395
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,29494,31242,33003,36684,35241,38035,40067,40663,41101,42715,42739,42493,44028,45744,48372,51696,55923,56643,60182
11180,"Ames, IA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3421296,3688550,3923613,4112888,4021042,4028327,4334943,4700021,4590972,4785977,4923545,4956035,5065587,5303438,5487208,5764705,6245634,6758803,6979905
11180,"Ames, IA (Metropolitan Statistical Area)",2,Population (persons) 1,109384,111210,113093,114285,115645,115953,117558,118375,120509,122558,123658,123978,124449,123806,124565,125347,126440,124836,125156
11180,"Ames, IA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,31278,33167,34694,35988,34771,34741,36875,39705,38097,39051,39816,39975,40704,42837,44051,45990,49396,54141,55770
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),14744647,15789736,17085504,18928756,18929242,20225886,21391927,21888972,21586515,22674958,23525428,23104577,23373457,24240924,24695963,25373799,26890366,28498825,29628647
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,Population (persons) 1,350903,358718,360194,365633,374562,383511,388534,392704,398003,399171,399917,402855,402149,399386,398130,398397,400167,400455,401314
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,42019,44017,47434,51770,50537,52739,55058,55739,54237,56805,58826,57352,58121,60695,62030,63690,67198,71166,73829
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),13703537,14173298,14605029,15265029,14301842,15825960,15810708,16841429,16956531,17816878,18869915,19714573,20722255,21650159,22657639,23558091,25859100,26706133,28342725
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,Population (persons) 1,342234,344018,345310,341595,343520,346108,350715,353845,358147,362711,366258,370179,373437,374797,373006,371834,365013,366504,365536
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,40041,41199,42295,44688,41633,45725,45081,47595,47345,49121,51521,53257,55491,57765,60743,63356,70844,72867,77537
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3143140,3290907,3490891,3625139,3566455,3667238,3738325,3766067,3712764,3800402,3936697,3970877,4049899,4154359,4286419,4598776,4999025,4940057,5208717
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2,Population (persons) 1,114477,115388,116211,117274,118363,118488,118109,117843,117417,117154,116986,116746,116730,116556,116601,116243,115678,115780,116429
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,27457,28520,30039,30912,30132,30950,31651,31958,31620,32439,33651,34013,34695,35643,36761,39562,43215,42668,44737
11540,"Appleton, WI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),7397433,7776102,8186296,8574198,8430089,8684516,9256564,9628086,9779432,10260723,10696897,11052559,11505626,12024941,12569469,13307569,14427317,15018870,15825017
11540,"Appleton, WI (Metropolitan Statistical Area)",2,Population (persons) 1,215925,218441,220368,222402,224632,225990,228032,229572,231336,233419,235372,236877,238913,240640,241982,243451,243903,244981,246433
11540,"Appleton, WI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,34259,35598,37148,38553,37528,38429,40593,41939,42274,43958,45447,46659,48158,49971,51944,54662,59152,61306,64216
11700,"Asheville, NC (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),12018802,13080082,13899253,14414593,14037094,14312533,14901072,15732240,15753289,16809316,17834583,18695414,19615716,20800118,22260159,23583907,26368928,27690736,29794513
11700,"Asheville, NC (Metropolitan Statistical Area)",2,Population (persons) 1,396408,404546,411842,417457,422014,425436,428580,431801,437016,441239,446515,452631,457702,462493,466211,469781,473350,476584,480171
11700,"Asheville, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,30319,32333,33749,34530,33262,33642,34768,36434,36047,38096,39942,41304,42857,44974,47747,50202,55707,58103,62050
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4965919,5193172,5474472,5650554,5600638,5708147,5974835,6233450,6341819,6804097,7310545,7580191,8070314,8457939,8924235,9594777,10535079,11315489,11818292
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,Population (persons) 1,178974,183171,186781,189948,192021,193457,194489,196205,197913,198779,203075,205869,209508,212059,214457,215712,218314,220331,222060
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,27747,28351,29310,29748,29167,29506,30721,31770,32043,34229,35999,36820,38520,39885,41613,44480,48257,51357,53221
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),183419060,197581252,206619036,206236089,200658053,205048554,220609538,227191481,230846272,249334282,266188019,280444372,299751387,316507772,335027961,355211268,388894014,403528918,428053807
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2,Population (persons) 1,4770870,4931848,5066356,5170099,5240828,5303070,5368755,5448580,5516494,5600951,5695668,5800308,5886546,5962525,6039714,6105757,6145550,6223443,6292404
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,38446,40062,40783,39890,38287,38666,41091,41697,41847,44516,46735,48350,50921,53083,55471,58176,63281,64840,68027
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),9019718,9880758,10350882,10685492,10447153,10614431,11066928,11258603,11414061,11626811,11742848,11828874,12142939,12619513,13468820,14956186,15837720,15770390,16648407
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,Population (persons) 1,270332,271759,272303,273014,274049,274933,276033,277178,278000,277393,276085,274213,273567,273233,274011,274190,274956,275382,275213
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,33365,36359,38012,39139,38121,38607,40093,40619,41058,41915,42533,43138,44387,46186,49154,54547,57601,57267,60493
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3274536,3529062,3756329,4040618,4041990,4223395,4482826,4789381,4857382,5153727,5444984,5704763,5969714,6230684,6714439,7172990,8030562,8337316,8887870
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,Population (persons) 1,126133,129247,131934,134524,138566,141009,145166,150421,154472,157988,161247,164310,167450,170625,172212,174754,177596,180698,183215
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,25961,27305,28471,30036,29170,29951,30881,31840,31445,32621,33768,34720,35651,36517,38989,41046,45218,46140,48511
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),15471184,16291709,17077388,17822517,18101732,18843494,19960037,20117850,20222504,21168252,22451235,23070860,24182977,25074060,26413886,28688339,30805572,31354223,32773727
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,Population (persons) 1,531294,538643,545524,552627,558096,566644,570637,575814,579247,582315,588664,594059,599053,603029,607706,612172,616187,623985,629429
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,29120,30246,31305,32251,32435,33255,34979,34938,34912,36352,38139,38836,40369,41580,43465,46863,49994,50248,52069
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),52969867,59055683,62858535,68698333,67018551,71526109,79393393,86680730,90605620,98445209,104002582,108348822,119172633,129835052,139336064,147166207,167393441,184158832,199026444
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",2,Population (persons) 1,1453358,1515485,1577856,1633870,1682338,1727601,1781118,1835653,1884893,1944513,2004660,2065007,2118549,2169708,2231362,2300135,2358634,2423170,2473275
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,36447,38968,39838,42046,39837,41402,44575,47221,48069,50627,51880,52469,56252,59840,62444,63982,70971,75999,80471
12540,"Bakersfield, CA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),19804585,21411340,23183294,23890508,23733721,25809681,27307412,28877595,29679549,31577551,32173940,32048150,32666174,33813117,35612628,40338604,42836685,40882242,43269675
12540,"Bakersfield, CA (Metropolitan Statistical Area)",2,Population (persons) 1,760726,784511,803281,818327,830137,841561,849631,856159,865279,873174,880669,886002,893009,900095,906160,905910,912709,916751,913820
12540,"Bakersfield, CA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,26034,27293,28861,29194,28590,30669,32140,33729,34301,36164,36534,36172,36580,37566,39301,44528,46934,44595,47350
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),110639844,117510767,123439192,128344198,127134172,130958127,137557660,141264855,142041402,147299825,152902458,157209112,162851181,168643491,175651947,186498910,199625082,205750426,218025461
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2,Population (persons) 1,2644231,2658162,2667619,2679819,2696018,2716832,2739256,2764521,2782535,2798733,2812930,2821292,2830041,2837249,2842406,2842668,2843219,2834813,2834316
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,41842,44208,46273,47893,47156,48203,50217,51099,51047,52631,54357,55722,57544,59439,61797,65607,70211,72580,76923
12620,"Bangor, ME (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4360515,4519216,4719258,4973942,5127916,5147853,5327886,5350985,5393798,5514328,5680542,5822043,6008031,6265546,6506407,7197379,7818754,8073492,8383411
12620,"Bangor, ME (Metropolitan Statistical Area)",2,Population (persons) 1,149726,151446,152232,153372,153770,153876,153840,153499,153442,153489,152276,151714,152127,152188,152259,152169,153359,154728,155312
12620,"Bangor, ME (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,29123,29840,31000,32431,33348,33455,34633,34860,35152,35927,37304,38375,39494,41170,42732,47299,50983,52179,53978
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),9780709,10163094,10467061,10773876,10744500,11143892,11589425,12063951,12183712,12805698,13416252,13942986,14450339,15199571,16554492,17884606,19572143,20034187,21416354
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2,Population (persons) 1,221995,220037,218380,217066,215994,216300,217348,218386,219709,221066,222252,223614,225233,226724,227436,228012,232315,232078,231735
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,44058,46188,47930,49634,49744,51521,53322,55241,55454,57927,60365,62353,64157,67040,72787,78437,84248,86325,92417
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),24253957,26552588,28762615,30895323,30648566,31717852,33540431,34714086,35368503,36547035,37270858,38105971,39167846,41046161,42623714,45461483,49729375,50964883,54142097
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2,Population (persons) 1,758706,795417,803339,811301,819405,827967,833073,839046,846099,852200,857794,864779,863542,865218,868295,870286,872646,872347,873661
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,31968,33382,35804,38081,37403,38308,40261,41373,41802,42886,43450,44064,45357,47440,49089,52237,56987,58423,61972
12980,"Battle Creek, MI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3935517,3991139,4123950,4311942,4235994,4360191,4459148,4585563,4618184,4726000,4965488,5033871,5111214,5218461,5374986,5895207,6124259,6165563,6394526
12980,"Battle Creek, MI (Metropolitan Statistical Area)",2,Population (persons) 1,138946,138291,137582,137313,136301,135968,135183,134886,134971,135092,134683,134706,134549,134338,134344,134200,133878,133424,133366
12980,"Battle Creek, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,28324,28860,29974,31402,31078,32068,32986,33996,34216,34984,36868,37369,37988,38846,40009,43929,45745,46210,47947
13020,"Bay City, MI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3126281,3233720,3332473,3490785,3481849,3617623,3742971,3786703,3801299,3876118,4021782,4106448,4140756,4366150,4440988,4841470,5215356,5125307,5389312
13020,"Bay City, MI (Metropolitan Statistical Area)",2,Population (persons) 1,109165,108711,108132,108320,107913,107710,107582,107267,107231,106615,105941,105219,105010,104727,104144,103742,103108,102638,102500
13020,"Bay City, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,28638,29746,30819,32227,32265,33587,34792,35302,35450,36356,37962,39028,39432,41691,42643,46668,50581,49936,52579
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),10906326,11640817,12225373,13262493,13115783,13839868,14464227,15126908,14801479,15971469,16444916,16426333,16903527,17232201,17645611,18433751,19219221,19227619,20351055
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2,Population (persons) 1,385490,379119,382330,385248,387146,389402,391649,390962,393140,394180,397955,400286,402347,397825,397565,397237,395526,394489,395479
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,28292,30705,31976,34426,33878,35541,36932,38692,37649,40518,41324,41036,42012,43316,44384,46405,48592,48741,51459
13220,"Beckley, WV (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3146265,3345051,3348268,3608915,3707535,3866908,4246588,4284898,4169606,4252489,4288320,4138569,4351201,4540765,4732991,4874596,5256414,5339157,5591278
13220,"Beckley, WV (Metropolitan Statistical Area)",2,Population (persons) 1,124570,124378,124566,124550,124816,124943,125258,125099,124329,123302,122007,120341,118538,117111,115921,114822,113815,112189,111428
13220,"Beckley, WV (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,25257,26894,26879,28976,29704,30949,33903,34252,33537,34488,35148,34390,36707,38773,40829,42454,46184,47591,50178
13380,"Bellingham, WA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),5623699,6085213,6664769,7151388,7100242,7347345,7765222,8223205,8171689,8610703,9090722,9427108,9946133,10698779,11533092,12260274,13172993,13644330,14400963
13380,"Bellingham, WA (Metropolitan Statistical Area)",2,Population (persons) 1,185450,188926,192837,196708,199865,201457,203047,204080,204952,206688,210024,214202,218768,222084,225296,227449,226701,230598,231919
13380,"Bellingham, WA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,30325,32210,34562,36355,35525,36471,38243,40294,39871,41660,43284,44010,45464,48174,51191,53903,58107,59169,62095
13460,"Bend, OR (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4617933,5290790,5600115,5879178,5449981,5492507,5897179,6316066,6775338,7294926,8189375,8921964,9744419,10529174,11268998,12746735,14483872,15686986,16894729
13460,"Bend, OR (Metropolitan Statistical Area)",2,Population (persons) 1,140567,148149,152633,156820,157345,157681,159365,160836,164558,168551,173057,179229,185127,189671,195065,199464,205283,206483,208513
13460,"Bend, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,32852,35713,36690,37490,34637,34833,37004,39270,41173,43280,47322,49780,52636,55513,57770,63905,70556,75972,81025
13740,"Billings, MT (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),5051565,5429872,5889804,6327136,6205866,6537304,6995353,7605867,7667342,8177183,8397531,8427737,8914122,9335455,9645854,10365104,11644518,12430325,13189580
13740,"Billings, MT (Metropolitan Statistical Area)",2,Population (persons) 1,156025,158157,160358,163165,165575,167603,169154,171185,173723,175410,176930,178429,180139,180972,182512,184726,187351,190275,191435
13740,"Billings, MT (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,32377,34332,36729,38778,37481,39005,41355,44431,44135,46618,47462,47233,49485,51585,52851,56111,62153,65328,68898
13780,"Binghamton, NY (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),7145430,7593356,8060412,8548350,8677551,8934319,9142786,9316721,9308997,9390755,9633567,9698986,10226337,10454457,10870802,11818792,12448757,12188695,12837872
13780,"Binghamton, NY (Metropolitan Statistical Area)",2,Population (persons) 1,252088,252441,252442,252527,252171,251716,251410,251066,251084,251077,250222,249210,248615,248362,247505,246504,246642,245024,243792
13780,"Binghamton, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,28345,30080,31930,33851,34411,35494,36366,37109,37075,37402,38500,38919,41133,42094,43922,47946,50473,49745,52659
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),36532522,38976440,40679206,41913535,40288476,41878145,43485183,45477417,45417850,47199423,49627782,50504342,53065467,55474303,57725797,61190055,68071032,70322209,74452605
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2,Population (persons) 1,1017818,1030584,1039561,1049266,1057924,1062304,1066994,1072916,1080603,1086172,1092218,1097733,1102869,1107569,1112245,1116638,1117014,1116348,1119562
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,35893,37820,39131,39946,38083,39422,40755,42387,42030,43455,45438,46008,48116,50087,51900,54798,60940,62993,66502
13900,"Bismarck, ND (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3389180,3615286,3941503,4278561,4452404,4820187,5397963,6120201,6390543,6988155,6988305,7023434,7037485,7372979,7652109,8095085,9031123,9407039,9782452
13900,"Bismarck, ND (Metropolitan Statistical Area)",2,Population (persons) 1,101858,103713,105648,107210,109009,111220,113391,116635,120614,123946,127540,129834,131171,131848,132799,133785,134406,134963,135786
13900,"Bismarck, ND (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,33274,34859,37308,39908,40844,43339,47605,52473,52983,56381,54793,54095,53651,55920,57622,60508,67193,69701,72043
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",1,Personal income (thousands of dollars),3986634,4222282,4475005,4618186,4653518,4678344,4863463,5052844,5117992,5379412,5602124,5721310,5942721,6238130,6404216,6812615,7408955,7788374,8369592
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",2,Population (persons) 1,156402,158277,160085,161247,162385,163113,163339,163936,164981,165334,165298,166085,165945,166747,166703,166286,165703,165660,165749
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2,25490,26677,27954,28640,28657,28682,29775,30822,31022,32537,33891,34448,35811,37411,38417,40969,44712,47014,50496
14010,"Bloomington, IL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),5473204,5939674,6203018,6575432,6567243,6837846,7227139,7375802,7571709,7522657,7870184,8004176,8101355,8425764,8516819,9369961,10062557,10088968,10426505
14010,"Bloomington, IL (Metropolitan Statistical Area)",2,Population (persons) 1,160299,162925,165223,166825,168727,169806,170890,172673,174959,173998,173015,172910,172482,172042,170907,170949,171109,170918,170441
14010,"Bloomington, IL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,34144,36456,37543,39415,38922,40269,42291,42715,43277,43234,45488,46291,46969,48975,49833,54811,58808,59028,61174
14020,"Bloomington, IN (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4112198,4358846,4521736,4857914,4844013,4948102,5236675,5451650,5456252,5717597,6011540,6321060,6666749,6977382,7259421,7696659,8459336,8728514,9113736
14020,"Bloomington, IN (Metropolitan Statistical Area)",2,Population (persons) 1,150096,152548,154352,156164,157840,159938,160758,161117,160708,161132,161009,161778,161754,161616,161578,160903,161690,161108,160874
14020,"Bloomington, IN (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,27397,28574,29295,31108,30689,30938,32575,33837,33951,35484,37337,39072,41215,43173,44928,47834,52318,54178,56651
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),2407674,2524613,2701919,2850249,2822620,2977802,3123537,3186975,3261835,3319155,3423518,3522775,3622061,3743675,3840399,4162115,4424097,4476039,4709206
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",2,Population (persons) 1,83718,83996,84303,84735,85385,85649,85426,85433,85543,85478,84909,84301,83764,83304,83037,82817,83070,83343,83299
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2,28759,30056,32050,33637,33058,34768,36564,37304,38131,38831,40320,41788,43241,44940,46249,50257,53257,53706,56534
